StratumID,TransitionGroupID,StateClassID,Amount
Bedrock and Colluvium,Shrub decline [Type],Shrubland:All,0.09161226304355985
Bottomland,Shrub decline [Type],Shrubland:All,0.2707494285762059
Gravelly and Calcic,Shrub decline [Type],Shrubland:All,0.13829824566003956
Gypsic,Shrub decline [Type],Shrubland:All,0.2662495475623705
Loamy-Clayey,Shrub decline [Type],Shrubland:All,0.2558467561859816
Sandy and Deep Sand,Shrub decline [Type],Shrubland:All,0.1969501985958514
Bedrock and Colluvium,Shrub in-filling [Type],Low Shrub:All,0.025514645499838312
Bedrock and Colluvium,Shrub loss [Type],Low Shrub:All,0.003912115260687874
Bottomland,Shrub in-filling [Type],Low Shrub:All,0.01852779466425058
Bottomland,Shrub loss [Type],Low Shrub:All,0.010225969006800768
Gravelly and Calcic,Shrub in-filling [Type],Low Shrub:All,0.018610477104316854
Gravelly and Calcic,Shrub loss [Type],Low Shrub:All,0.004037101320957487
Gypsic,Shrub in-filling [Type],Low Shrub:All,0.007013113478413813
Gypsic,Shrub loss [Type],Low Shrub:All,0.01514909201809866
Loamy-Clayey,Shrub in-filling [Type],Low Shrub:All,0.018985910026315094
Loamy-Clayey,Shrub loss [Type],Low Shrub:All,0.011594958325573553
Sandy and Deep Sand,Shrub in-filling [Type],Low Shrub:All,0.018414266143414428
Sandy and Deep Sand,Shrub loss [Type],Low Shrub:All,0.006278894605228869
